Timestamp,Pose_Error,Map_Accuracy,CPU_Usage,Memory_Usage
0,0.0,,0.0,176.04296875
1,0.0,,0.0,181.609375
2,0.0,,0.0,181.80078125
3,0.0,,0.0,181.8125
4,0.0,,0.0,181.88671875
5,0.0,,0.0,181.89453125
6,0.0,,0.0,181.8984375
7,0.0,,0.0,181.90234375
8,0.0,,7.7,181.90234375
9,0.0,,0.0,181.90234375
10,0.0,,0.0,181.90234375
11,0.0,,0.0,181.90234375
12,0.0,,0.0,178.80859375
13,0.0,,0.0,181.9140625
14,0.0,,7.7,181.91796875
15,0.0,,0.0,181.921875
16,0.0,,0.0,181.9453125
17,0.0,,0.0,181.9453125
18,0.0,,0.0,181.9453125
19,0.0,,0.0,181.9453125
20,0.0,,0.0,181.953125
21,0.0,,0.0,178.859375
22,0.0,,0.0,181.95703125
23,0.0,,0.0,181.95703125
24,0.0,,0.0,181.95703125
25,0.0,,7.7,182.01953125
26,0.0,,8.4,182.03125
27,0.0,,0.0,182.02734375
28,0.0,,15.4,182.02734375
29,0.0,,15.3,182.02734375
30,0.0,,0.0,182.02734375
31,0.0,,15.4,182.02734375
32,0.0,,0.0,182.03515625
33,0.0,,7.7,182.03515625
34,0.0,,0.0,182.03515625
35,0.0,,7.7,182.03515625
36,0.0,,23.1,182.03515625
37,0.0,,0.0,182.03515625
38,0.0,,0.0,182.03125
39,0.0,,15.3,182.03125
40,0.0,,0.0,182.04296875
41,0.0,,0.0,182.0546875
42,0.0,,7.7,178.9609375
43,0.0,,0.0,182.0546875
44,0.0,,0.0,182.0546875
45,0.0,,0.0,182.0546875
46,0.0,,0.0,182.0546875
47,0.0,,0.0,182.0546875
48,0.0,,0.0,182.0546875
49,0.0,,0.0,182.0546875
50,0.0,,0.0,182.0546875
51,0.0,,0.0,182.0546875
52,0.0,,7.7,182.0546875
53,0.0,,0.0,182.0546875
54,0.0,,0.0,182.0546875
55,0.0,,0.0,182.05859375
56,0.0,,0.0,182.0625
57,0.0,,7.7,182.06640625
58,0.0,,0.0,182.06640625
59,0.0,,7.7,182.06640625
60,0.0,,0.0,182.06640625
61,0.0,,0.0,182.06640625
62,0.0,,15.4,182.06640625
63,0.0,,0.0,182.06640625
64,0.0,,0.0,182.06640625
65,0.0,,7.7,182.06640625
66,0.0,,16.6,182.06640625
67,0.0,,0.0,182.0703125
68,0.0,,0.0,182.0703125
69,0.0,,0.0,182.0703125
70,0.0,,7.7,182.0703125
71,0.0,,0.0,182.078125
72,0.0,,7.7,182.078125
73,0.0,,0.0,182.078125
74,0.0,,7.7,181.78125
75,0.0,,7.7,182.078125
76,0.0,,7.7,182.078125
77,0.0,,0.0,182.078125
78,0.0,,0.0,182.078125
79,0.0,,0.0,182.078125
